timestamp,conflicts_predicted,conflicts_accurately_predicted,recommendations_generated,recommendations_accepted,false_positive_rate,prediction_accuracy,recommendation_acceptance_rate,average_response_time_ms
2025-09-12T19:51:39.292871,0,0,0,0,0.15,0.89,0.0,260
2025-09-12T19:51:42.329083,2,1,2,0,0.15,0.91,0.0,275
2025-09-12T19:51:45.335455,2,1,2,0,0.15,0.9299999999999999,0.0,245
2025-09-12T19:51:48.343183,2,1,2,0,0.15,0.95,0.0,260
2025-09-12T19:51:51.366135,2,1,2,0,0.15,0.87,0.0,275
2025-09-12T19:51:54.387586,2,1,2,0,0.15,0.89,0.0,245
2025-09-12T19:51:57.392588,4,3,4,0,0.15,0.91,0.0,260
2025-09-12T19:52:00.401399,2,1,2,0,0.15,0.9299999999999999,0.0,275
2025-09-12T19:52:03.408192,3,2,2,0,0.15,0.95,0.0,245
2025-09-12T19:52:06.426394,4,3,4,0,0.15,0.87,0.0,260
2025-09-12T19:52:09.430346,4,3,4,0,0.15,0.89,0.0,275
2025-09-12T19:52:12.437919,4,3,4,0,0.15,0.91,0.0,245
2025-09-12T19:52:15.460713,2,1,2,0,0.15,0.9299999999999999,0.0,260
2025-09-12T19:52:18.483313,2,1,2,0,0.15,0.95,0.0,275
2025-09-12T19:52:21.504712,2,1,2,0,0.15,0.87,0.0,245
2025-09-12T19:52:24.510948,0,0,0,0,0.15,0.89,0.0,260
2025-09-12T19:52:27.516006,1,0,0,0,0.15,0.91,0.0,275
2025-09-12T19:52:30.525998,2,1,2,0,0.15,0.9299999999999999,0.0,245
2025-09-12T19:52:33.529793,1,0,2,0,0.15,0.95,0.0,260
2025-09-12T19:52:36.536964,2,1,3,0,0.15,0.87,0.0,275
2025-09-12T19:52:39.544142,3,2,2,0,0.15,0.89,0.0,245
2025-09-12T19:52:42.553715,2,1,2,0,0.15,0.91,0.0,260
2025-09-12T19:52:45.564007,2,1,3,0,0.15,0.9299999999999999,0.0,275
2025-09-12T19:52:48.582624,3,2,3,0,0.15,0.95,0.0,245
2025-09-12T19:52:51.588474,2,1,3,0,0.15,0.87,0.0,260
2025-09-12T19:52:54.593825,2,1,3,0,0.15,0.89,0.0,275
2025-09-12T19:52:57.613787,3,2,3,0,0.15,0.91,0.0,245
2025-09-12T19:53:00.635572,3,2,3,0,0.15,0.9299999999999999,0.0,260
2025-09-12T19:53:03.644091,2,1,3,0,0.15,0.95,0.0,275
2025-09-12T19:53:06.649095,2,1,3,0,0.15,0.87,0.0,245
2025-09-12T19:53:09.653234,3,2,3,0,0.15,0.89,0.0,260
2025-09-12T19:53:12.660213,3,2,3,0,0.15,0.91,0.0,275
2025-09-12T19:53:15.665026,3,2,3,0,0.15,0.9299999999999999,0.0,245
2025-09-12T19:53:18.669679,3,2,3,0,0.15,0.95,0.0,260
2025-09-12T19:53:21.674429,3,2,4,0,0.15,0.87,0.0,275
2025-09-12T19:53:24.681260,4,3,3,0,0.15,0.89,0.0,245
2025-09-12T19:53:27.685999,2,1,4,0,0.15,0.91,0.0,260
2025-09-12T19:53:30.693203,2,1,3,0,0.15,0.9299999999999999,0.0,275
2025-09-12T19:53:33.717600,2,1,3,0,0.15,0.95,0.0,245
2025-09-12T19:53:36.741539,3,2,3,0,0.15,0.87,0.0,260
