timestamp,total_trains,delayed_trains,on_time_trains,average_delay_minutes,section_throughput_trains_per_hour,punctuality_percentage,asset_utilization_percentage
2025-09-12T19:51:39.292871,4,2,2,1.6,8,50.0,75.0
2025-09-12T19:51:42.329083,4,2,2,1.6,8,50.0,75.0
2025-09-12T19:51:45.335455,4,3,1,2.1,8,25.0,75.0
2025-09-12T19:51:48.343183,4,4,0,2.4,8,0.0,75.0
2025-09-12T19:51:51.366135,4,4,0,3.0,8,0.0,75.0
2025-09-12T19:51:54.387586,4,4,0,3.0,8,0.0,75.0
2025-09-12T19:51:57.392588,4,4,0,3.5,8,0.0,75.0
2025-09-12T19:52:00.401399,4,4,0,3.5,8,0.0,75.0
2025-09-12T19:52:03.408192,4,4,0,3.7,8,0.0,75.0
2025-09-12T19:52:06.426394,4,4,0,3.7,8,0.0,75.0
2025-09-12T19:52:09.430346,4,4,0,3.7,8,0.0,75.0
2025-09-12T19:52:12.437919,4,4,0,4.0,8,0.0,75.0
2025-09-12T19:52:15.460713,4,4,0,4.0,8,0.0,75.0
2025-09-12T19:52:18.483313,4,4,0,4.0,8,0.0,75.0
2025-09-12T19:52:21.504712,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:24.510948,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:27.516006,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:30.525998,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:33.529793,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:36.536964,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:39.544142,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:42.553715,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:45.564007,4,4,0,5.4,8,0.0,75.0
2025-09-12T19:52:48.582624,4,4,0,5.9,8,0.0,75.0
2025-09-12T19:52:51.588474,4,4,0,5.9,8,0.0,75.0
2025-09-12T19:52:54.593825,4,4,0,5.9,8,0.0,75.0
2025-09-12T19:52:57.613787,4,4,0,5.9,8,0.0,75.0
2025-09-12T19:53:00.635572,4,4,0,5.9,8,0.0,75.0
2025-09-12T19:53:03.644091,4,4,0,5.9,8,0.0,75.0
2025-09-12T19:53:06.649095,4,4,0,6.6,8,0.0,75.0
2025-09-12T19:53:09.653234,4,4,0,6.6,8,0.0,75.0
2025-09-12T19:53:12.660213,4,4,0,7.0,8,0.0,75.0
2025-09-12T19:53:15.665026,4,4,0,7.0,8,0.0,75.0
2025-09-12T19:53:18.669679,4,4,0,7.7,8,0.0,75.0
2025-09-12T19:53:21.674429,4,4,0,7.7,8,0.0,75.0
2025-09-12T19:53:24.681260,4,4,0,7.9,8,0.0,75.0
2025-09-12T19:53:27.685999,4,4,0,7.9,8,0.0,75.0
2025-09-12T19:53:30.693203,4,4,0,7.9,8,0.0,75.0
2025-09-12T19:53:33.717600,4,4,0,8.8,8,0.0,75.0
2025-09-12T19:53:36.741539,4,4,0,8.8,8,0.0,75.0
