timestamp,conflicts_predicted,conflicts_accurately_predicted,recommendations_generated,recommendations_accepted,false_positive_rate,prediction_accuracy,recommendation_acceptance_rate,average_response_time_ms
2025-09-12T23:19:32.911138,0,0,0,0,0.15,0.89,0.0,260
2025-09-12T23:19:35.940357,0,0,0,0,0.15,0.91,0.0,275
2025-09-12T23:19:38.954704,3,2,3,0,0.15,0.9299999999999999,0.0,245
2025-09-12T23:19:41.959986,3,2,3,0,0.15,0.95,0.0,260
2025-09-12T23:19:44.967903,3,2,3,0,0.15,0.87,0.0,275
2025-09-12T23:19:48.005079,4,3,3,0,0.15,0.89,0.0,245
2025-09-12T23:19:51.019589,4,3,3,0,0.15,0.91,0.0,260
2025-09-12T23:19:54.025355,4,3,2,0,0.15,0.9299999999999999,0.0,275
2025-09-12T23:19:57.037880,6,5,4,0,0.15,0.95,0.0,245
2025-09-12T23:20:00.041060,4,3,4,0,0.15,0.87,0.0,260
2025-09-12T23:20:03.065888,3,2,3,0,0.15,0.89,0.0,275
2025-09-12T23:20:06.065906,3,2,3,0,0.15,0.91,0.0,245
2025-09-12T23:20:09.081157,2,1,3,0,0.15,0.9299999999999999,0.0,260
2025-09-12T23:20:12.084436,2,1,4,0,0.15,0.95,0.0,275
2025-09-12T23:20:15.087298,3,2,3,0,0.15,0.87,0.0,245
2025-09-12T23:20:18.118820,3,2,3,0,0.15,0.89,0.0,260
2025-09-12T23:20:21.123517,3,2,4,0,0.15,0.91,0.0,275
2025-09-12T23:20:24.139841,3,2,3,0,0.15,0.9299999999999999,0.0,245
2025-09-12T23:20:27.149442,2,1,3,0,0.15,0.95,0.0,260
2025-09-12T23:20:30.150002,3,2,3,0,0.15,0.87,0.0,275
2025-09-12T23:20:33.174802,3,2,3,0,0.15,0.89,0.0,245
2025-09-12T23:20:36.181717,3,2,4,0,0.15,0.91,0.0,260
2025-09-12T23:20:39.187186,3,2,4,0,0.15,0.9299999999999999,0.0,275
2025-09-12T23:20:42.199333,3,2,3,0,0.15,0.95,0.0,245
2025-09-12T23:20:45.204783,3,2,3,0,0.15,0.87,0.0,260
2025-09-12T23:20:48.235680,2,1,3,0,0.15,0.89,0.0,275
2025-09-12T23:20:51.252951,2,1,3,0,0.15,0.91,0.0,245
2025-09-12T23:20:54.264813,2,1,3,0,0.15,0.9299999999999999,0.0,260
2025-09-12T23:20:57.265666,1,0,3,0,0.15,0.95,0.0,275
2025-09-12T23:21:00.282653,3,2,3,0,0.15,0.87,0.0,245
2025-09-12T23:21:03.313645,3,2,3,0,0.15,0.89,0.0,260
2025-09-12T23:21:06.320272,3,2,3,0,0.15,0.91,0.0,275
2025-09-12T23:21:09.336402,2,1,3,0,0.15,0.9299999999999999,0.0,245
2025-09-12T23:21:12.348933,3,2,3,0,0.15,0.95,0.0,260
2025-09-12T23:21:15.351959,2,1,3,0,0.15,0.87,0.0,275
2025-09-12T23:21:18.382569,3,2,3,0,0.15,0.89,0.0,245
2025-09-12T23:21:21.395169,3,2,3,0,0.15,0.91,0.0,260
2025-09-12T23:21:24.399841,2,1,3,0,0.15,0.9299999999999999,0.0,275
2025-09-12T23:21:27.413218,3,2,3,0,0.15,0.95,0.0,245
2025-09-12T23:21:30.426243,3,2,3,0,0.15,0.87,0.0,260
2025-09-13T19:58:47.837962,0,0,0,0,0.15,0.89,0.0,260
2025-09-13T19:58:50.850674,0,0,0,0,0.15,0.91,0.0,275
2025-09-13T19:58:53.864254,0,0,0,0,0.15,0.9299999999999999,0.0,245
2025-09-13T19:58:56.870004,1,0,1,0,0.15,0.95,0.0,260
2025-09-13T19:58:59.870221,1,0,1,0,0.15,0.87,0.0,275
2025-09-13T19:59:02.889622,1,0,1,0,0.15,0.89,0.0,245
2025-09-13T19:59:05.898863,1,0,1,0,0.15,0.91,0.0,260
2025-09-13T19:59:08.910869,1,0,0,0,0.15,0.9299999999999999,0.0,275
2025-09-13T19:59:11.917239,2,1,0,0,0.15,0.95,0.0,245
2025-09-13T19:59:14.931075,2,1,1,0,0.15,0.87,0.0,260
2025-09-13T19:59:17.947125,4,3,3,0,0.15,0.89,0.0,275
2025-09-13T19:59:20.948318,4,3,4,0,0.15,0.91,0.0,245
2025-09-14T12:34:01.758418,0,0,0,0,0.15,0.89,0.0,260
2025-09-14T12:34:04.780775,0,0,0,0,0.15,0.91,0.0,275
2025-09-14T12:34:07.793930,0,0,0,0,0.15,0.9299999999999999,0.0,245
2025-09-14T12:34:10.798136,1,0,0,0,0.15,0.95,0.0,260
2025-09-14T12:34:13.812548,0,0,0,0,0.15,0.87,0.0,275
2025-09-14T12:34:16.860833,1,0,0,0,0.15,0.89,0.0,245
2025-09-14T12:34:19.867299,2,1,1,0,0.15,0.91,0.0,260
2025-09-14T12:34:22.877911,2,1,3,0,0.15,0.9299999999999999,0.0,275
2025-09-14T12:34:25.883392,3,2,2,0,0.15,0.95,0.0,245
2025-09-14T12:34:28.898504,1,0,2,0,0.15,0.87,0.0,260
2025-09-14T12:34:31.931684,3,2,3,0,0.15,0.89,0.0,275
2025-09-14T12:34:34.949399,3,2,3,0,0.15,0.91,0.0,245
2025-09-14T12:34:37.965587,1,0,3,0,0.15,0.9299999999999999,0.0,260
2025-09-14T12:34:40.976949,2,1,3,0,0.15,0.95,0.0,275
2025-09-14T12:34:43.982553,2,1,3,0,0.15,0.87,0.0,245
2025-09-14T12:34:47.009557,2,1,4,0,0.15,0.89,0.0,260
2025-09-14T12:34:50.013483,3,2,4,0,0.15,0.91,0.0,275
2025-09-14T12:34:53.029391,2,1,3,0,0.15,0.9299999999999999,0.0,245
2025-09-14T12:34:56.047728,3,2,3,0,0.15,0.95,0.0,260
2025-09-14T12:34:59.061312,2,1,3,0,0.15,0.87,0.0,275
2025-09-14T12:35:02.083204,3,2,3,0,0.15,0.89,0.0,245
2025-09-14T12:35:05.088341,2,1,3,0,0.15,0.91,0.0,260
2025-09-14T12:35:08.089937,3,2,4,0,0.15,0.9299999999999999,0.0,275
2025-09-14T12:35:11.096419,3,2,3,0,0.15,0.95,0.0,245
2025-09-14T12:35:14.101819,3,2,3,0,0.15,0.87,0.0,260
2025-09-14T12:35:17.122751,3,2,3,0,0.15,0.89,0.0,275
2025-09-14T12:35:20.142187,2,1,4,0,0.15,0.91,0.0,245
2025-09-14T12:35:23.149732,2,1,3,0,0.15,0.9299999999999999,0.0,260
2025-09-14T12:35:26.160037,2,1,3,0,0.15,0.95,0.0,275
2025-09-14T12:35:29.160169,2,1,3,0,0.15,0.87,0.0,245
2025-09-14T12:37:11.078546,0,0,0,0,0.15,0.89,0.0,260
2025-09-14T12:37:14.085225,1,0,0,0,0.15,0.91,0.0,275
2025-09-14T12:37:17.100636,1,0,0,0,0.15,0.9299999999999999,0.0,245
2025-09-14T12:37:20.112944,0,0,0,0,0.15,0.95,0.0,260
2025-09-14T12:37:23.119044,0,0,0,0,0.15,0.87,0.0,275
2025-09-14T12:37:26.149140,1,0,1,0,0.15,0.89,0.0,245
2025-09-14T12:37:29.166093,1,0,1,0,0.15,0.91,0.0,260
2025-09-14T12:37:32.176432,1,0,1,0,0.15,0.9299999999999999,0.0,275
2025-09-14T12:37:35.183763,1,0,1,0,0.15,0.95,0.0,245
2025-09-14T12:37:38.200051,1,0,1,0,0.15,0.87,0.0,260
2025-09-14T12:37:41.217773,1,0,0,0,0.15,0.89,0.0,275
2025-09-14T12:37:44.233568,1,0,1,0,0.15,0.91,0.0,245
2025-09-14T12:37:47.244397,2,1,3,0,0.15,0.9299999999999999,0.0,260
2025-09-14T12:37:50.248990,2,1,3,0,0.15,0.95,0.0,275
2025-09-14T12:37:53.249308,3,2,3,0,0.15,0.87,0.0,245
2025-09-14T12:37:56.282278,3,2,3,0,0.15,0.89,0.0,260
2025-09-14T12:37:59.295849,1,0,3,0,0.15,0.91,0.0,275
2025-09-14T12:38:02.301185,3,2,3,0,0.15,0.9299999999999999,0.0,245
2025-09-14T12:38:05.311927,2,1,3,0,0.15,0.95,0.0,260
2025-09-14T12:38:08.315032,3,2,3,0,0.15,0.87,0.0,275
