timestamp,total_trains,delayed_trains,on_time_trains,average_delay_minutes,section_throughput_trains_per_hour,punctuality_percentage,asset_utilization_percentage
2025-09-12T23:19:32.911138,4,1,3,1.2,8,75.0,75.0
2025-09-12T23:19:35.940357,4,1,3,1.2,8,75.0,75.0
2025-09-12T23:19:38.954704,4,1,3,1.2,8,75.0,75.0
2025-09-12T23:19:41.959986,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:19:44.967903,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:19:48.005079,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:19:51.019589,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:19:54.025355,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:19:57.037880,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:20:00.041060,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:20:03.065888,4,2,2,1.6,8,50.0,75.0
2025-09-12T23:20:06.065906,4,2,2,1.7,8,50.0,75.0
2025-09-12T23:20:09.081157,4,2,2,1.7,8,50.0,75.0
2025-09-12T23:20:12.084436,4,3,1,2.2,8,25.0,75.0
2025-09-12T23:20:15.087298,4,3,1,2.2,8,25.0,75.0
2025-09-12T23:20:18.118820,4,3,1,2.8,8,25.0,75.0
2025-09-12T23:20:21.123517,4,3,1,2.8,8,25.0,75.0
2025-09-12T23:20:24.139841,4,3,1,2.8,8,25.0,75.0
2025-09-12T23:20:27.149442,4,3,1,3.5,8,25.0,75.0
2025-09-12T23:20:30.150002,4,3,1,3.5,8,25.0,75.0
2025-09-12T23:20:33.174802,4,3,1,3.5,8,25.0,75.0
2025-09-12T23:20:36.181717,4,3,1,3.5,8,25.0,75.0
2025-09-12T23:20:39.187186,4,3,1,3.5,8,25.0,75.0
2025-09-12T23:20:42.199333,4,4,0,3.9,8,0.0,75.0
2025-09-12T23:20:45.204783,4,4,0,3.9,8,0.0,75.0
2025-09-12T23:20:48.235680,4,4,0,3.9,8,0.0,75.0
2025-09-12T23:20:51.252951,4,4,0,3.9,8,0.0,75.0
2025-09-12T23:20:54.264813,4,4,0,3.9,8,0.0,75.0
2025-09-12T23:20:57.265666,4,4,0,4.3,8,0.0,75.0
2025-09-12T23:21:00.282653,4,4,0,5.0,8,0.0,75.0
2025-09-12T23:21:03.313645,4,4,0,5.0,8,0.0,75.0
2025-09-12T23:21:06.320272,4,4,0,5.0,8,0.0,75.0
2025-09-12T23:21:09.336402,4,4,0,5.0,8,0.0,75.0
2025-09-12T23:21:12.348933,4,4,0,5.0,8,0.0,75.0
2025-09-12T23:21:15.351959,4,4,0,6.1,8,0.0,75.0
2025-09-12T23:21:18.382569,4,4,0,6.1,8,0.0,75.0
2025-09-12T23:21:21.395169,4,4,0,6.8,8,0.0,75.0
2025-09-12T23:21:24.399841,4,4,0,7.7,8,0.0,75.0
2025-09-12T23:21:27.413218,4,4,0,9.4,8,0.0,75.0
2025-09-12T23:21:30.426243,4,4,0,9.4,8,0.0,75.0
